What is the name of the dog you would like to submit a response for?,What is the gender of {{field:dog_name}},Do you know the age of {{field:dog_name}}?,Please enter the age of {{field:dog_name}} in months:,Did you acquire {{field:dog_name}} between 2 and 6 months?,Did {{field:dog_name}} attend puppy training classes between 2 and 6 months?,What style of training was taught to you and {{field:dog_name}} during class?,Where was puppy training offered?,Did {{field:dog_name}} attend any training classes after 6 months of age?,What style of training was used?,Who trained you and {{field:dog_name}}?,At what age did you complete training {{field:dog_name}}?,Is there at least one situation in which {{field:dog_name}} behaves aggressively?,Who or what has {{field:dog_name}} acted aggressively toward?,Is there at least one situation in which {{field:dog_name}} is fearful or anxious?,What sort of fears and/or anxiety has {{field:dog_name}} had?,Do you consider {{field:dog_name}} to have a problem with jumping up on people?,Who does {{field:dog_name}} jumped up on?,Does {{field:dog_name}} bark excessively?,When has {{field:dog_name}} excessively barked?,Has {{field:dog_name}} ever eaten feces?,What type of feces has {{field:dog_name}} eaten?,Has {{field:dog_name}} ever had any repetitive behaviors?,What sort of repetitive behaviors have you seen with {{field:dog_name}}?,Have you ever had a problem with {{field:dog_name}} soiling in the house?,When has {{field:dog_name}} soiled in the house?,How has {{field:dog_name}} soiled in the house?,Where has {{field:dog_name}} soiled in the house?,Has {{field:dog_name}} ever rolled in repulsive material?,In what repulsive material has {{field:dog_name}} rolled?,Do you consider{{field:dog_name}} to be overactive/hyperactive?,In what ways has {{field:dog_name}} been overactive/hyperactive?,Has {{field:dog_name}} ever exhibited destructive behavior in the home (other than puppy chewing behavior)?,When has {{field:dog_name}} been destructive?,Has {{field:dog_name}} ever run away/escaped?,Which of the following describes how {{field:dog_name}} has run away/escaped?,Have you ever had a problem with {{field:dog_name}} mounting/humping?,Who or what has {{field:dog_name}} mounted/humped?,Would you like to enter information for another dog you own?,id,msg,list,sep,Submitted At,Token
Drax,Male,Yes,36.0,False,I don't know,,,Yes,Reward based,"Sent to professional training school/boot camp, Myself/family member attended group classes",6 to 18 months (adolescence),True,Animals other than dogs,True,"Fear of animals other than dogs, Fear of other dogs, Fear of thunderstorms",True,"Stangers, Owners, Familiar people",True,At triggers (outside),False,,True,"Licking of the wrist/hock, Digging in the yard",False,,,,False,,True,"Difficulty settling, Impulsiveness, Easily distracted, Constant moving/jumping",True,"Owner is present, Owner is away",True,"Escapes from home, Returns home after escape",False,,False,05d4f0fcfecb6bba7dd9b185f9c74a45,,, ,5/15/2020 17:21:29,9q2evsfk43a41nr3r29q2efiuv28nh6b
Foxy,Female,Yes,111.0,True,No,,,No,,,,False,,True,"Fear of thunderstorms, Fear of other dogs, Separation anxiety, Travel anxiety, Generalized anxiety",True,"Owners, Familiar people, Stangers",True,"At triggers (inside), At triggers (outside), Owners are present",True,The feces of other animals,True,Licking of the wrist/hock,False,,,,False,,False,,False,,False,,False,,True,3306c6a9340a42d4187d8c89add7417e,,, ,5/15/2020 17:22:46,fkexucxyk43rxlro7ast4fkexucx4r2t
Salsa,Female,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,335205862e9eb1354940bd9f53aebcd8,We have submissions for:,,", ",5/15/2020 17:17:10,vittopaobus1iyqd4dvittop7vvd80nn
Charlie,Male,Yes,65.0,False,I don't know,,,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,31b0193a7380c97d5fb1823211abc78b,We have submissions for:,,", ",5/15/2020 17:17:53,pe0iofcmi3hamlvkype0ioobwgm1iyro
Tank,Female,Yes,125.0,True,Yes,Discipline based,Sent to a professional training school/boot camp,Yes,Reward based,Myself/family member attended group classes,Continue to practice and use training skills in home,True,"Strangers visiting the home, Familiar dogs in the home, Familiar dogs away from the home, Unfamiliar dogs in the home, Unfamiliar dogs away from the home, Groomers",True,"Fear of veterinary visits, Fear of noises, Fear of thunderstorms, Fear of other dogs, Separation anxiety, Travel anxiety, Generalized anxiety",False,,False,,False,,True,"Licking of the wrist/hock, Tail chasing",False,,,,True,"Feces, Dead stuff",False,,True,Owner is away,False,,False,,False,f1c8056ebf9bf0a9e4894cedabec83c6,,, ,5/15/2020 17:19:53,fl3bmoo7z0rgds8ao7fl3bmxk90pn4fq
CARLY,Female,Yes,73.0,True,Yes,Reward based,Myself/family member attended group classes,Yes,Reward based,Myself/family member attended group classes,"Continue to attend classes periodically (nose work, agility, trick training, etc.), Continue to practice and use training skills in home",True,"Unfamiliar dogs away from the home, Animals other than dogs",True,"Fear of veterinary visits, Fear of crowds",False,,False,,True,"Their own feces, The feces of other animals",False,,False,,,,True,Dead stuff,False,,False,,False,,False,,True,cc45d41f9f4b9d943d9fa50b80c2159a,,, ,5/15/2020 17:25:38,7yj77bsdhjitnon27yjzjd12ujqht0au
Willow,Female,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,dbdeaafef3f798182b8f1e22da805e53,,, ,5/15/2020 17:20:14,2yasxmr1nedt1t502yasdl98b95lq1gw
Shayna,Female,Yes,120.0,False,I don't know,,,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,b23bff1ef7cb83ee637d8759ab50ab3e,,, ,5/15/2020 17:20:31,kagh3jm3jm0is4rkagh3jl15w6n2iqh9
Dash,Male,Yes,170.0,False,I don't know,,,Yes,Reward based,Myself/family member attended group classes,18-36 months (social maturity),True,"Familiar dogs in the home, Unfamiliar dogs away from the home",True,"Fear of noises, Fear of thunderstorms, Fear of shiny floors ",False,,False,,False,,False,,True,"Owners are present, Owners are away",Both feces and urine,Specific locations,True,Feces,False,,False,,True,Escaped when out,True,Familiar dogs,True,0c85ab9c6e97fd52f0e8f8e2b60e6e46,We have submissions for:,,", ",5/15/2020 17:24:44,fl5hnxr1ak16dwj0fl5huhftzzkszs8u
Daisy,Female,Yes,96.0,False,I don't know,,,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,cb8dc7b848afedc28c34cfe59cab8a2d,,, ,5/15/2020 17:20:56,h1bewqjlui57712h1be206vmqqi2epa0
Linus,Male,Yes,14.0,True,No,,,Yes,Reward based,Myself/family member attended group classes,Continue to practice and use training skills in home,False,,True,Generalized anxiety,True,Familiar people,False,,True,The feces of other animals,True,"Shadow/light chasing, Tail chasing",False,,,,True,Don't know what it is,False,,False,,False,,True,"Unfamiliar dogs, Familiar dogs",False,dbdeaafef3f798182b8f1e22da805e53,We have submissions for:,,", ",5/15/2020 17:26:00,ybwfnpzpyqkn9z6ybwfki90svi120969
Finnegan,Male,Yes,20.0,True,Yes,Reward based,Myself/family member attended group classes,Yes,Reward based,Myself/family member attended group classes,"Continue to attend classes periodically (nose work, agility, trick training, etc.), Continue to practice and use training skills in home",False,,False,,True,Familiar people,True,"At triggers (outside), To get attention",False,,False,,True,Owners are away,Urine,Specific locations,False,,False,,False,,False,,True,People,False,cb8dc7b848afedc28c34cfe59cab8a2d,We have submissions for:,,", ",5/15/2020 17:23:40,j50yy4bfvffi1gj50yf1ansi56g6h7qi
Rogue,Male,Yes,72.0,True,No,,,No,,,,True,"Strangers visiting the home, Unfamiliar dogs in the home, Animals other than dogs, Strangers away from the home",True,Fear of thunderstorms,False,,False,,True,"Their own feces, The feces of other animals",False,,False,,,,True,"Feces, Dead stuff",False,,False,,False,,False,,False,4c3b13701320eb20031d7ec5bb070143,,, ,5/15/2020 17:24:15,yrovdgxyhoyy1x7hcwb8myrovf18xdzk
Leila,Female,Yes,80.0,True,No,,,No,,,,True,Possession aggression with items she isn’t supposed to have ,False,,False,,False,,False,,False,,False,,,,True,"Feces, Dead stuff",False,,True,Owner is away,False,,False,,False,cd4c203a4864b575e11eb164de943a50,,, ,5/15/2020 17:24:55,9z61twip7bjvjibw71jcbdf89z61twi1
Bella,Female,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,a81fbb71968c621a641752aa8989ad1e,We have submissions for:,,", ",5/15/2020 17:23:12,tzpjjmp03w93g2fzkrhtzpjjl32oakct
Baxter,Male,Yes,96.0,False,No,,,Yes,Reward based,Myself/family member attended group classes,6 to 18 months (adolescence),True,Unfamiliar dogs away from the home,True,"Travel anxiety, Fear of veterinary visits, Fear of other dogs",False,,False,,True,"Dog feces other than their own, Their own feces",False,,False,,,,True,Dead stuff,False,,False,,False,,False,,False,1a0a15e4b98dfe1d7753a6922e53f920,,, ,5/15/2020 17:26:14,vkz1jwgzosa1s0ngxximfkvkz1jwg8c1
Lily,Female,Yes,28.0,True,No,,,No,,,,False,,True,"Fear of thunderstorms, Separation anxiety, Generalized anxiety, Fear of noises",False,,False,,False,,True,Scratching,True,"Owners are present, Owners are away",Both feces and urine,Anywhere,False,,False,,False,,False,,False,,False,3306c6a9340a42d4187d8c89add7417e,We have submissions for:,,", ",5/15/2020 17:27:08,i5vwfhuugauri5vwffvuhv5xh2h9v7sn
Arlo,Male,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,bb280d25ec0235dd5481e23f162d8bcb,We have submissions for:,,", ",5/15/2020 17:24:35,buu6werm6i935hkbuu6lx1fyzcnhgl4w
Junebug,Female,Yes,120.0,False,No,,,No,,,,False,,True,Fear of other dogs,False,,False,,False,,False,,False,,,,False,,False,,False,,True,Escapes from home,False,,False,b326cfa9386a6c3193c3582d22530480,,, ,5/15/2020 17:26:34,mgvfnvuxnsrxeze0kmv2lmmavmgvfnvu
Bickie,Female,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0c85ab9c6e97fd52f0e8f8e2b60e6e46,We have submissions for:,,", ",5/15/2020 17:25:01,34u1grri61tm9n3yi2vy34u195wo6ukq
Monty,Male,Yes,16.0,False,I don't know,,,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,bb280d25ec0235dd5481e23f162d8bcb,We have submissions for:,,", ",5/15/2020 17:26:11,p629xy9zg2pj9eopb8zzd3up629xy9dr
Max,Male,Yes,125.0,True,No,,,No,,,,True,Familiar dogs in the home,True,Fear of veterinary visits,False,,False,,False,,False,,False,,,,True,Urine,False,,False,,False,,True,Familiar dogs,True,88ae1299e068c7883a779fb5337167cb,,, ,5/15/2020 17:28:54,fitry5rhg671s6lrfitun686iaic151i
MASON,Male,Yes,128.0,True,Yes,Reward based,Myself/family member attended group classes,Yes,Reward based,Myself/family member attended group classes,"Continue to attend classes periodically (nose work, agility, trick training, etc.), Continue to practice and use training skills in home",False,,False,,True,"Owners, Familiar people, Stangers",False,,True,The feces of other animals,False,,False,,,,True,Dead stuff,False,,False,,False,,False,,False,cc45d41f9f4b9d943d9fa50b80c2159a,We have submissions for:,,", ",5/15/2020 17:28:45,2vsgt9cs8a2g6hkbkyebh4nn7r84cbjg
Brody,Male,Yes,110.0,False,I don't know,,,Yes,Reward based,Myself/family member attended group classes,"18-36 months (social maturity), Continue to practice and use training skills in home",True,"Familiar dogs away from the home, Familiar dogs in the home, Unfamiliar dogs in the home, Unfamiliar dogs away from the home",False,,True,"Owners, Familiar people",True,At triggers (outside),True,The feces of other animals,True,"Licking of the wrist/hock, Digging in the yard",False,,,,False,,True,Reactive to all dogs.  Protective of home.,True,"Owner is present, Owner is away",False,,False,,False,8660fa9c1ea4c9ed74355b31f01a7c7f,,, ,5/15/2020 17:32:29,ed0jjkd00mhbgnos7ded0jtdnc8flid6
Sadie,Female,Yes,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,c6e3c98aea9b3158b7ee68b6b0c3c068,,, ,5/15/2020 17:27:03,va65s39gcv61lxs7va65ceb68pzjixaz
Brisco,Male,Yes,86.0,False,No,,,Yes,Reward based,"Hired in home private trainer, Myself/family member attended group classes","Continue to practice and use training skills in home, Continue to attend classes periodically (nose work, agility, trick training, etc.)",False,,True,"Fear of noises, Travel anxiety",False,,False,,True,"Their own feces, Dog feces other than their own, The feces of other animals",True,Licking of the wrist/hock,False,,,,True,"Feces, Dead stuff",True,"Easily distracted, Impulsiveness",False,,True,"Escapes from home, Returns home after escape",False,,True,8dcbdba135e60798702f682bf29ac1b4,,, ,5/15/2020 17:30:08,dr6mwoye9j0ghuhw1rdr6mwcm1yplmlf
Bridger,Male,Yes,96.0,True,Yes,Reward based,Myself/family member attended group classes,Yes,Reward based,Myself/family member attended group classes,"Continue to attend classes periodically (nose work, agility, trick training, etc.)",False,,True,Fear of veterinary visits,False,,False,,False,,True,Humping his blankets,False,,,,True,Dead stuff,False,,False,,False,,True,"Familiar dogs, Inanimate objects, Unfamiliar dogs",True,7c54eca0883227490010f00ae1338a9e,,, ,5/15/2020 17:31:32,511m158qky6vepql7h8511mmdd44zxs1
Amy,Female,Yes,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,f002739b37e7ce4d840fe8cf2ae0ef4e,,, ,5/15/2020 17:28:00,wlsd3reigd2257te1owlsd3rek59m17q
Penney,Female,Yes,180.0,True,No,,,No,,,,True,"Unfamiliar dogs in the home, Strangers visiting the home",True,"Fear of veterinary visits, Fear of noises, Separation anxiety",False,,False,,False,,False,,True,when she was infected with Ecoli,Urine,Anywhere,False,,False,,False,,False,,False,,False,80a251a0adc4cc273938d7b6cbfd6c1b,,, ,5/15/2020 17:31:45,5hyj11cq5i2bn8dwm6d5hyj11f2tujv6
Cassie,Female,Yes,125.0,True,No,,,No,,,,True,Unfamiliar dogs away from the home,True,"Fear of veterinary visits, Separation anxiety, Post-traumatic Stress Disorder (PTSD)",False,,False,,True,Their own feces,False,,False,,,,True,Urine,False,,False,,False,,False,,False,88ae1299e068c7883a779fb5337167cb,We have submissions for:,,", ",5/15/2020 17:32:01,3prnaaqtz5kgjyh3pn23b23hdivtd3uq
Molly,Female,Yes,149.0,False,No,,,No,,,,True,Unfamiliar dogs away from the home,True,"Fear of veterinary visits, Fear of other dogs, Travel anxiety",True,"Familiar people, Stangers, Owners",False,,False,,True,"Licking of the wrist/hock, Nail biting",False,,,,False,,False,,True,Owner is away,False,,True,Familiar dogs,False,1844662f8821ad356d2de80bd37b436f,,, ,5/15/2020 17:37:18,rcxwazju67qrhzircxwv4zjzmlj95r58
Renee,Female,Yes,90.0,False,I don't know,,,Yes,Reward based,Hired in home private trainer,Continue to practice and use training skills in home,True,"Unfamiliar dogs away from the home, Animals other than dogs",True,"Fear of crowds, Fear of noises, Separation anxiety, Travel anxiety",True,"Familiar people, Stangers",False,,False,,True,"Sucking flank regions/blankets, Collecting/arranging objects",True,"Owners are present, Owners are away, Exited/overwhelmed",Urine,Anywhere,False,,True,"Difficulty settling, Easily distracted",False,,False,,False,,False,8dcbdba135e60798702f682bf29ac1b4,We have submissions for:,,", ",5/15/2020 17:33:05,l6gojiem1uv4ql6gojiqmmxojva9xczl
Merlin,Male,Yes,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,3acbaa56082aaab8ebaafa67bb6ecb05,,, ,5/15/2020 17:30:39,tza9c0hbevp7yueows4lltza9c0hkyy1
Ladybugg,Female,Yes,127.0,True,No,,,Yes,Reward based,Myself/family member attended group classes,6 to 18 months (adolescence),True,"Unfamiliar dogs away from the home, Animals other than dogs",False,,False,,False,,True,The feces of other animals,False,,False,,,,True,"Dead stuff, Garbage",False,,False,,False,,False,,False,d4e1d360f6c0f404032fbd01dfbf05b8,,, ,5/15/2020 17:35:32,3sc9ngyev4albgbw1u39n3sc9nghlbqa
Cash,Male,Yes,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,3acbaa56082aaab8ebaafa67bb6ecb05,We have submissions for:,,", ",5/15/2020 17:30:57,ve6myb34d7t1prpqcoxy4hve6mybfzrt
Kenya,Female,Yes,168.0,True,Yes,Reward based,Myself/family member attended group classes,Yes,Reward based,Myself/family member attended group classes,Continue to practice and use training skills in home,False,,False,,False,,False,,False,,False,,False,,,,False,,False,,False,,False,,False,,False,6811bd9e82d7a76c5438bd07113b0327,,, ,5/15/2020 17:34:51,x1x44tlnkcm5eb9hcdgjx1x44tlvurd0
Tybee,Male,Yes,55.0,False,Yes,I don't know,Myself/family member attended group classes,Yes,Reward based,Myself/family member attended group classes,"Continue to attend classes periodically (nose work, agility, trick training, etc.), Continue to practice and use training skills in home",False,,False,,False,,False,,False,,False,,False,,,,False,,False,,False,,False,,True,"Unfamiliar dogs, Inanimate objects",False,7c54eca0883227490010f00ae1338a9e,We have submissions for:,,", ",5/15/2020 17:33:27,e2444bcg7ss6spkp73sdtxde2444bhb2
Nana,Female,Yes,55.0,True,No,,,No,,,,False,,True,"Fear of noises, Fear of thunderstorms",False,,False,,True,The feces of other animals,False,,False,,,,False,,False,,False,,False,,False,,False,374eb12c5f5970e949ab490ffcd211d4,,, ,5/15/2020 17:37:24,p9c604snqgcqxm23ruwfp9c604s5gxaw
Gus,Male,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,d3a6b7ee6f42814bd6dcb16556e8355e,,, ,5/15/2020 17:32:28,y1vgcsbqbgi30ppxyuocuoy1vgcsb5z2
Oden,Male,Yes,15.0,False,No,,,No,,,,True,People approaching him unexpectedly if he's close to me,True,Fear of thunderstorms,False,,False,,False,,True,Licking of the wrist/hock,False,,,,False,,False,,False,,False,,False,,False,02093f7a704d1d81a701e841681c0cac,,, ,5/15/2020 17:37:07,hygz2dflbniykrv4fd2qchygz2dfli5d
Ara,Female,Yes,30.0,True,No,,,Yes,Mixed balance of both reward and discipline,Myself/family member attended group classes,"6 to 18 months (adolescence), Continue to practice and use training skills in home",True,Familiar dogs in the home,True,Separation anxiety,True,"Owners, Familiar people, Stangers",False,,False,,True,Digging in the yard,False,,,,True,Dead stuff,False,,False,,False,,False,,False,ed606aab0977ebc8b53f1ea43c4583eb,,, ,5/15/2020 17:39:17,gyrr5d6f8l95u1vlcb2agyrr5d6u94zi
M'Ocean,Male,Yes,29.0,True,Yes,Reward based,Myself/family member attended group classes,Yes,Reward based,Myself/family member attended group classes,"Continue to attend classes periodically (nose work, agility, trick training, etc.)",False,,False,,False,,False,,False,,False,,False,,,,False,,False,,False,,False,,False,,True,35cbdb7c7d414de9159eabfecc7416aa,,, ,5/15/2020 17:38:02,4l9tisxafm14zqjcp4l9wd4fklszbrjq
Rio,Male,Yes,121.0,True,Yes,Reward based,Myself/family member attended group classes,Yes,Reward based,"Myself/family member attended group classes, Hired in home private trainer",Continue to practice and use training skills in home,False,,False,,False,,False,,True,The feces of other animals,False,,False,,,,True,Dead stuff,False,,False,,False,,False,,False,6ed7221ec28b4f32bcd509bf6ccebabc,,, ,5/15/2020 17:40:57,bp2rw7bc92qo7ewhbp2rw70e0w92fvuj
Slater,Male,Yes,96.0,False,No,,,No,,,,True,"Familiar people in the home, Strangers away from the home, Unfamiliar dogs in the home, Familiar dogs away from the home, Unfamiliar dogs away from the home",True,Fear of veterinary visits,False,,False,,False,,False,,False,,,,False,,False,,False,,False,,False,,False,940dd9603fe9f8652a23634f8a8b3c8d,,, ,5/15/2020 17:41:06,zmi0nhococsioqzmi029d6ii8jks8kmn
Tegan,Female,Yes,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1db158d5d4ac76dda24b9111009fd206,,, ,5/15/2020 17:38:08,zoa0vtom4kl58iot3omfhzoa0vodyaa5
Tigerlily,Female,Yes,192.0,True,Yes,Reward based,Myself/family member attended group classes,Yes,Reward based,Myself/family member attended group classes,"Continue to attend classes periodically (nose work, agility, trick training, etc.)",True,"chasing moving objects, person on golf cart ",True,"Fear of thunderstorms, Fear of other dogs",False,,False,,False,,False,,False,,,,True,Garbage,False,,False,,True,"Escaped when out, Escapes from confinement, Returns home after escape",False,,True,35cbdb7c7d414de9159eabfecc7416aa,We have submissions for:,,", ",5/15/2020 17:43:53,1j1436tbe56fk7bgzoq3f111j1436s30
Squirt,Female,Yes,180.0,False,I don't know,,,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,f97be41b32e3caf5bd0f3b865cad408d,,, ,5/15/2020 17:41:22,nlzr306bhg3yce5cfznlzr30ups6oh3c
Bentley,Male,Yes,13.0,True,Yes,Reward based,Myself/family member attended group classes,Yes,Reward based,Myself/family member attended group classes,"Continue to attend classes periodically (nose work, agility, trick training, etc.)",True,"Strangers visiting the home, Unfamiliar dogs away from the home",True,Fear of noises,False,,False,,False,,True,chews with front teeth on plush toy almost like nursing,False,,,,False,,True,"Easily distracted, Difficulty settling, Constant moving/jumping",False,,False,,True,"Inanimate objects, People",True,61bdb6695d14d2dbf07feb845c914045,,, ,5/15/2020 17:50:42,5lh704ajxjc4wrvx5wfx5lh7apppdgx4
Newton,Male,Yes,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,78bcb3147c6906931ecff5fb1974c39c,,, ,5/15/2020 17:41:08,p3fir0796ir2gflun6p3fir0v6ldumo6
Sydney,Female,Yes,12.0,False,I don't know,,,No,,,,False,,False,,False,,False,,False,,False,,True,when she was ill,Both feces and urine,Specific locations,False,,False,,False,,True,Escapes from home,False,,False,21788fdd7e675a2f3b852e7713182e37,,, ,5/15/2020 17:44:52,vepruiubtcpwlfarz8veprui78zds93t
Marmalade,Male,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,56c218ad6f47b35e50b161de644aaa85,,, ,5/15/2020 17:42:50,7cnckbg2t7gi43hqzhqu7cnr58h42tfc
Scones,Female,Yes,156.0,False,I don't know,,,No,,,,True,cat on the other side of plate glass door,True,"Fear of crowds, Fear of veterinary visits, Fear of noises, Fear of thunderstorms, Fear of other dogs, Fear of animals other than dogs, Travel anxiety, Generalized anxiety, Post-traumatic Stress Disorder (PTSD)",False,,False,,True,"Their own feces, cat feces from litter pan",True,"Licking of the wrist/hock, Spinning",True,anytime she needs to do so,Both feces and urine,Specific locations,False,,False,,False,,False,,False,,True,56c218ad6f47b35e50b161de644aaa85,We have submissions for:,,", ",5/15/2020 17:47:15,z7fkkl7jfyh7iz7fk2532ynw0l1mq96w
